avg_acc,epoch,task,task_num,test_acc,test_loss
,45.0,,14.0,0.8975,0.3159228213876486
,45.0,,15.0,0.8975,0.32355349101126196
92.38333333333335,,14.0,,,
,48.0,,1.0,0.93,0.21038385964930056
,48.0,,2.0,0.9175,0.2785695073753595
,48.0,,3.0,0.9425,0.1820368292182684
,48.0,,4.0,0.9175,0.2539736907184124
,48.0,,5.0,0.9325,0.22928665071725846
,48.0,,6.0,0.9125,0.21142573818564414
,48.0,,7.0,0.945,0.17577230878174305
,48.0,,8.0,0.92,0.23564030662178992
,48.0,,9.0,0.93,0.21680863671004771
,48.0,,10.0,0.925,0.21232302531599997
,48.0,,11.0,0.94,0.20911214575171472
,48.0,,12.0,0.915,0.2587081833928824
,48.0,,13.0,0.905,0.3163861694931984
,48.0,,14.0,0.9075,0.29339975424110887
,48.0,,15.0,0.9075,0.2974431928247213
,48.0,,16.0,0.855,0.4234393155574799
91.89062500000001,,15.0,,,
